Research_Question,antecedent_str,consequent_str,support,confidence,lift
RQ1,Task=agent_business_process + Task=generating_content,Task=agent_data_analytics,0.04194260485651214,0.5057034220532319,2.6593458562699808
RQ1,Task=agent_business_process + Task=testing_code,Task=documentation,0.05350572900241774,0.7529585798816567,1.851355639807237
RQ1,Task=agent_business_process + Task=learning_codebase,Task=documentation,0.05739514348785872,0.7348586810228802,1.8068520632128868
RQ1,Task=learning_codebase + Task=testing_code,Task=documentation,0.17428781667192264,0.7326557666813964,1.8014355927733585
RQ1,Task=agent_business_process + Task=generating_content,Task=documentation,0.06075896142121308,0.7325728770595691,1.8012317858536264
RQ1,Task=generating_content + Task=testing_code,Task=documentation,0.1808052139177967,0.7266582171525137,1.7866889686668033
RQ1,Task=agent_it_operations + Task=testing_code,Task=documentation,0.04541154210028382,0.7152317880794702,1.758593951925562
RQ1,Task=debugging_code + Task=documentation,Task=testing_code,0.19688846841164723,0.6813386686067662,1.745643618221429
RQ1,Task=testing_code,Task=debugging_code + Task=documentation,0.19688846841164723,0.5044438459466738,1.7456436182214288
RQ1,Task=generating_content + Task=learning_codebase,Task=documentation,0.18953011668243455,0.7092840283241542,1.7439697496633957
RQ1,Task=agent_business_process + Task=documentation,Task=testing_code,0.05350572900241774,0.6795727636849132,1.7411192299850737
RQ1,Task=agent_data_analytics + Task=testing_code,Task=documentation,0.061915273835803634,0.7079326923076923,1.7406471186154242
RQ1,Task=agent_business_process + Task=documentation,Task=learning_codebase,0.05739514348785872,0.7289719626168224,1.7224814407287212
RQ1,Task=documentation + Task=learning_codebase,Task=testing_code,0.17428781667192264,0.6717990275526743,1.7212023024800942
RQ1,Task=documentation + Task=learning_new_concepts,Task=learning_codebase,0.21128981393882057,0.7279971024990947,1.7201779523283378
RQ1,Task=agent_business_process + Task=testing_code,Task=learning_codebase,0.051718700725323245,0.727810650887574,1.719737387454916
RQ1,Task=agent_business_process + Task=debugging_code,Task=documentation,0.058761694523283926,0.69875,1.718068945463944
RQ1,Task=agent_business_process + Task=learning_new_concepts,Task=learning_codebase,0.06496373383790602,0.7253521126760563,1.7139281291324697
RQ1,Task=agent_business_process + Task=documentation,Task=generating_content,0.06075896142121308,0.7716955941255006,1.7124189845849982
RQ1,Task=documentation + Task=generating_content,Task=testing_code,0.1808052139177967,0.6646058732612056,1.702772871622367
RQ1,Task=agent_business_process + Task=learning_codebase,Task=testing_code,0.051718700725323245,0.6621803499327052,1.6965584887987677
RQ1,Task=debugging_code + Task=testing_code,Task=documentation,0.19688846841164723,0.6891096394407653,1.694365469113466
RQ1,Task=debugging_code + Task=documentation,Task=learning_codebase,0.20719016083254493,0.7169879956347763,1.6941646305200266
RQ1,Task=agent_data_analytics + Task=learning_codebase,Task=documentation,0.06769683590875644,0.6872998932764142,1.6899157107103975
RQ1,Task=learning_new_concepts + Task=testing_code,Task=documentation,0.18585094081782824,0.6868686868686869,1.6888554712281771
RQ1,Task=agent_business_process + Task=debugging_code,Task=testing_code,0.05518763796909492,0.65625,1.6813644626986264
RQ1,Task=documentation + Task=writing_code,Task=testing_code,0.21780721118469462,0.6559037670148781,1.6804773863755817
RQ1,Task=testing_code,Task=documentation + Task=writing_code,0.21780721118469462,0.5580393213035281,1.6804773863755817
RQ1,Task=agent_data_analytics + Task=documentation,Task=generating_content,0.07253232418795333,0.750816104461371,1.6660866810685848
RQ1,Task=agent_business_process + Task=writing_code,Task=documentation,0.06496373383790602,0.6754098360655737,1.6606807367515644
RQ1,Task=learning_new_concepts + Task=testing_code,Task=learning_codebase,0.18995059392410385,0.7020202020202019,1.6587973625976604
RQ1,Task=agent_data_analytics + Task=documentation,Task=learning_codebase,0.06769683590875644,0.7007616974972797,1.6558236533262847
RQ1,Task=agent_it_operations + Task=learning_codebase,Task=documentation,0.049300956585724795,0.672883787661406,1.6544697523967318
RQ1,Task=agent_it_operations + Task=documentation,Task=learning_codebase,0.049300956585724795,0.7,1.6540238450074516
RQ1,Task=agent_it_operations + Task=documentation,Task=testing_code,0.04541154210028382,0.6447761194029851,1.6519674720928081
RQ1,Task=agent_data_analytics + Task=generating_content,Task=documentation,0.07253232418795333,0.6718597857838364,1.651951962305928
RQ1,Task=agent_business_process + Task=debugging_code,Task=learning_codebase,0.058761694523283926,0.69875,1.6510702309985097
RQ1,Task=documentation + Task=testing_code,Task=learning_codebase,0.17428781667192264,0.6986936367467341,1.6509370507629613
RQ1,Task=agent_it_operations + Task=generating_content,Task=documentation,0.05077262693156733,0.6708333333333334,1.6494281468079608
RQ1,Task=agent_business_process + Task=learning_new_concepts,Task=documentation,0.060023126248291814,0.67018779342723,1.647840909504585
RQ1,Task=documentation + Task=generating_content,Task=learning_codebase,0.18953011668243455,0.6966769706336939,1.6461718881366942
RQ1,Task=agent_data_analytics + Task=documentation,Task=testing_code,0.061915273835803634,0.6409140369967355,1.6420725111634649
RQ1,Task=agent_business_process + Task=testing_code,Task=generating_content,0.052559655208661835,0.7396449704142012,1.6412975515629336
RQ1,Task=documentation + Task=learning_new_concepts,Task=testing_code,0.18585094081782824,0.6403477001086564,1.6406215112129405
RQ1,Task=debugging_code + Task=generating_content,Task=documentation,0.20466729738252917,0.6672378341329678,1.640587623703004
RQ1,Task=documentation,Task=debugging_code + Task=generating_content,0.20466729738252917,0.5032308089945722,1.640587623703004
RQ1,Task=search_answers + Task=testing_code,Task=documentation,0.2234836539472301,0.664375,1.6335485590591885
